rank,seller_id,nombre,segmento,ml_level,reputacion,turbo,total_mensual,v4_mensual_total,v4_efectivo_zona,flex_zona,xd_zona,pct_cobertura_zona,pct_proximidad,ht_horas,lat,lon,tiene_integrador,tipo_integrador,integrador_nombre,nodos_activos,es_multinodo,v4_eff_acumulado,pct_vol_acum,ord_hr_acum,envios_turbo,peso_mediano_kg,lado_max_med_cm,gmv_prom_brl,pct_within_4km,opera_full
15,2462259361,C.E.S.A Comercio Varejista Multissetorial LTDA,Heavy,platinum,5_green,False,3812,106,106,101,5,100,2.78,27.47,-23.542177,-46.604452,True,certificado,UpSeller ERP,0,False,1971,12.03,10.4,0,0.6,33,59,2.5,false
16,1759056874,ZENTRO ELETRONICO COMERCIAL LTDA,Heavy,platinum,5_green,False,4370,111,105,96,9,94.59,2.54,17.93,-23.533922,-46.599041,True,certificado,UpSeller ERP,1,False,2076,12.67,11,0,0.29,21,91,2.4,true
17,2224333778,MELIZ COMERCIO E DISTRIBUICAO LTDA,Heavy,platinum,5_green,False,2168,135,103,103,0,76.3,6.23,14.63,-23.5577474,-46.5892914,True,certificado,Shopping De Precos,0,False,2179,13.3,11.5,0,1.08,24,178,6.4,true
18,2021124024,LINA LINGERIE LTDA,Heavy,platinum,5_green,False,2918,128,102,100,2,79.69,4.39,21.53,-23.5349964,-46.6213281,True,certificado,Predize,1,False,2281,13.92,12.1,0,0.38,27,49,4.7,true
19,662337609,PROSPECTA DEALS,Heavy,platinum,5_green,False,2113,141,98,98,0,69.5,6.67,13.5,-23.5641421,-46.6157875,True,certificado,Sistema ERP da Olist,0,False,2379,14.52,12.6,0,0.3,37,73,6,true
20,1442687320,JHONN BOLSAS,Heavy,platinum,5_green,False,6189,103,98,0,98,95.15,1.66,37.56,-23.5095007,-46.60373389999999,True,certificado,UpSeller ERP,0,False,2477,15.12,13.1,0,0.03,17,30,1.6,false
21,1231599555,RCA HOME TECH LTDA,Heavy,platinum,5_green,False,5512,128,98,94,4,76.56,2.32,22.79,-23.532443,-46.617612,True,certificado,UpSeller ERP,0,False,2575,15.72,13.6,0,0.86,25,67,2.4,false
22,2274592225,G.E IMPORTS COMERCIO,Heavy,platinum,5_green,False,5865,99,94,0,94,94.95,1.69,35.06,-23.509346,-46.603748,True,certificado,UpSeller ERP,0,False,2669,16.29,14.1,0,0.05,17,34,1.4,false
23,1312010968,BRASILPHONE,Heavy,platinum,5_green,False,3382,230,93,87,6,40.43,6.8,19.1,-23.540164,-46.642308,True,certificado,UpSeller ERP,0,False,2762,16.86,14.6,0,0.12,19,34,5.6,true
24,755693999,NEW SUNNY COMERCIAL DE PRESENTES,Heavy,platinum,5_green,False,3060,149,88,85,3,59.06,4.87,19.58,-23.521543,-46.589502,True,certificado,UpSeller ERP,0,False,2850,17.4,15.1,0,0.43,31,90,2.5,true
25,1365175516,FORTE COMERCIO DE PLASTICOS E TECIDOS LTDA,Heavy,platinum,5_green,False,2114,107,87,87,0,81.31,5.06,23.85,-23.544569,-46.620887,True,certificado,NUBIMETRICS,0,False,2937,17.93,15.5,0,0.42,47,65,5.2,true
26,1122509478,THOMTHOM ELETRONICOS,Heavy,platinum,5_green,False,3506,92,84,63,21,91.3,2.62,21.27,-23.533922,-46.599047,True,certificado,UpSeller ERP,0,False,3021,18.44,16,0,0.31,21,88,2.4,true
27,714595029,L.E. SIMANTOB LINGERIE LTDA,Heavy,platinum,5_green,False,3175,91,83,77,6,91.21,2.87,20.78,-23.5390668,-46.6160535,False,sin_integrador,,0,False,3104,18.95,16.4,0,0.16,24,95,2.9,true
