"category_id","agg1","agg2"
"455294","Alimentos e Bebidas","Congelados"
"1304","Esportes e Fitness","Futebol Americano"
"440306","Acessórios para Veículos","Segurança Veicular"
"432654","Esportes e Fitness","Canoas, Caiaques e Infláveis"
"48157","Esportes e Fitness","Surf e Bodyboard"
"271369","Eletrônicos, Áudio e Vídeo","Drones e Acessórios"
"437252","Acessórios para Veículos","Segurança Veicular"
"12554","Calçados, Roupas e Bolsas","Indumentária Laboral e Escolar"
"457915","Acessórios para Veículos","Lubrificantes e Fluidos"
"46225","Brinquedos e Hobbies","Hobbies"
"433714","Beleza e Cuidado Pessoal","Cuidados com a Pele"
"439599","Games","Acessórios para PC Gaming"
"455047","Mais Categorias","Artigos para Fumadores"
"264711","Ferramentas","Caixas e Organizadores"
"50657","Festas e Lembrancinhas","Fantasias e Cosplay"
"8534","Acessórios para Veículos","Navegadores GPS para Vehículos"
"271202","Mais Categorias","Artigos para Fumadores"
"446228","Beleza e Cuidado Pessoal","Artefatos para Cabelo"
"434391","Bebês","Quarto do Bebê"
"416841","Esportes e Fitness","Badminton"
"29901","Beleza e Cuidado Pessoal","Maquiagem"
"278257","Esportes e Fitness","Pilates e Yoga"
"420394","Calçados, Roupas e Bolsas","Roupas para Bebês"
"185489","Calçados, Roupas e Bolsas","Saias"
"33430","Casa, Móveis e Decoração","Segurança para Casa"
"212932","Ferramentas","Acessórios para Ferramentas"
"276630","Indústria e Comércio","Equipamento para Escritórios"
"459597","Esportes e Fitness","Tênis, Paddle e Squash"
"431637","Beleza e Cuidado Pessoal","Tratamentos de Beleza"
"270498","Eletrodomésticos","Refrigeração"
"407820","Agro","Infra-estrutura Rural"
"432438","Celulares e Telefones","Acessórios para Celulares"
"269941","Ferramentas","Ferramentas para Jardim"
"46219","Festas e Lembrancinhas","Artigos para Festas"
"455084","Eletrodomésticos","Fornos e Fogões"
"116336","Acessórios para Veículos","Ferramentas para Veículos"
"457135","Beleza e Cuidado Pessoal","Cuidados com a Pele"
"271299","Eletrônicos, Áudio e Vídeo","Drones e Acessórios"
"271710","Informática","Cabos e Hubs USB"
"435219","Instrumentos Musicais","Equipamento para DJs"
"434753","Eletrodomésticos","Lavadores"
"432583","Esportes e Fitness","Rugby"
"179803","Construção","Pisos e Rejuntes"
"392346","Acessórios para Veículos","Limpeza Automotiva"
"202309","Esportes e Fitness","Natação"
"417359","Indústria e Comércio","Uniformes e Roupa de Trabalho"
"269896","Construção","Mobiliário para Banheiros"
"277363","Bebês","Alimentação e Amamentação"
"395949","Eletrônicos, Áudio e Vídeo","Projetores e Telas"
"45578","Instrumentos Musicais","Pianos e Teclados"
"271794","Bebês","Quarto do Bebê"
"123549","Esportes e Fitness","Futebol"
"457158","Agro","Infra-estrutura Rural"
"456196","Instrumentos Musicais","Pedais e Acessórios"
"180315","Esportes e Fitness","Futebol"
"454566","Agro","Infra-estrutura Rural"
"123920","Esportes e Fitness","Mergulho"
"455667","Construção","Mobiliário para Cozinhas"
"67904","Esportes e Fitness","Futebol"
"455107","Eletrodomésticos","Lavadores"
"118027","Joias e Relógios","Acessórios Para Relógios"
"7062","Eletrônicos, Áudio e Vídeo","Pilhas e Carregadores"
"457265","Agro","Irrigação"
"439305","Esportes e Fitness","Rapel, Montanhismo e Escalada"
"73046","Eletrodomésticos","Lavadores"
"1708","Informática","Conectividade e Redes"
"455622","Ferramentas","Acessórios para Ferramentas"
"431648","Beleza e Cuidado Pessoal","Farmácia"
"271563","Eletrodomésticos","Lavadores"
"455653","Eletrodomésticos","Lavadores"
"457418","Festas e Lembrancinhas","Equipamento para Festas"
"405149","Indústria e Comércio","Embalagem e Logística"
"277910","Indústria e Comércio","Embalagem e Logística"
"437544","Bebês","Brinquedos para Bebês"
"186056","Casa, Móveis e Decoração","Têxteis de Casa e Decoração"
"271643","Agro","Infra-estrutura Rural"
"432674","Eletrodomésticos","Lavadores"
"9190","Brinquedos e Hobbies","Hobbies"
"456853","Agro","Apicultura"
"434845","Pet Shop","Aves e Acessórios"
"199559","Esportes e Fitness","Paintball"
"264313","Saúde","Ortopedia"
"264791","Beleza e Cuidado Pessoal","Barbearia"
"457846","Brinquedos e Hobbies","Jogos de Tabuleiro e Cartas"
"28155","Calçados, Roupas e Bolsas","Malas e Bolsas"
"417580","Beleza e Cuidado Pessoal","Barbearia"
"434825","Instrumentos Musicais","Instrumentos de Corda"
"457173","Agro","Produçao Animal"
"40629","Bebês","Higiene e Cuidados com o Bebê"
"278195","Beleza e Cuidado Pessoal","Tratamentos de Beleza"
"100698","Informática","Conectividade e Redes"
"457239","Agro","Produçao Animal"
"432900","Informática","Conectividade e Redes"
"271298","Eletrônicos, Áudio e Vídeo","Drones e Acessórios"
"1985","Câmeras e Acessórios","Câmeras"
"418049","Instrumentos Musicais","Pedais e Acessórios"
"271391","Indústria e Comércio","Uniformes e Roupa de Trabalho"
"425073","Indústria e Comércio","Têxtil e Calçado"
"437978","Bebês","Quarto do Bebê"
"272167","Ferramentas","Acessórios para Ferramentas"
"264037","Bebês","Chupetas e Mordedores"
"9566","Informática","Componentes para PC"
"169505","Beleza e Cuidado Pessoal","Artigos para Cabeleireiros"
"456123","Acessórios para Veículos","Lubrificantes e Fluidos"
"457206","Agro","Infra-estrutura Rural"
"413406","Esportes e Fitness","Patín e Skateboard"
"433458","Brinquedos e Hobbies","Veículos de Brinquedo"
"277350","Beleza e Cuidado Pessoal","Barbearia"
"277750","Bebês","Higiene e Cuidados com o Bebê"
"457786","Calçados, Roupas e Bolsas","Acessórios de Moda"
"270200","Mais Categorias","Equipamento para Tatuagens"
"433051","Brinquedos e Hobbies","Lançadores de Brinquedo"
"271366","Eletrônicos, Áudio e Vídeo","Drones e Acessórios"
"455197","Beleza e Cuidado Pessoal","Artefatos para Cabelo"
"455936","Beleza e Cuidado Pessoal","Artigos para Cabeleireiros"
"455493","Eletrônicos, Áudio e Vídeo","Componentes Eletrônicos"
"432829","Brinquedos e Hobbies","Brinquedos de Faz de Conta"
"412619","Esportes e Fitness","Hóquei"
"436435","Casa, Móveis e Decoração","Organização para Casa"
"115699","Acessórios para Veículos","Segurança Veicular"
"417117","Acessórios para Veículos","Ferramentas para Veículos"
"115944","Acessórios para Veículos","Ferramentas para Veículos"
"418071","Eletrônicos, Áudio e Vídeo","Componentes Eletrônicos"
"420331","Bebês","Maternidade"
"270887","Instrumentos Musicais","Equipamento para DJs"
"455782","Eletrodomésticos","Refrigeração"
"458047","Pet Shop","Gatos"
"433272","Calçados, Roupas e Bolsas","Acessórios de Moda"
"51160","Brinquedos e Hobbies","Hobbies"
"40569","Bebês","Maternidade"
"256843","Festas e Lembrancinhas","Descartáveis para Festa"
"433007","Calçados, Roupas e Bolsas","Indumentária Laboral e Escolar"
"439294","Esportes e Fitness","Futebol Americano"
"11620","Eletrônicos, Áudio e Vídeo","Componentes Eletrônicos"
"270531","Casa, Móveis e Decoração","Iluminação Residencial"
"277646","Agro","Apicultura"
"458041","Pet Shop","Capas de chuva"
"439320","Indústria e Comércio","Publicidade e Promoção"
"455741","Agro","Agricultura de Precisão"
"118037","Joias e Relógios","Artigos de Joalharia"
"392348","Acessórios para Veículos","Limpeza Automotiva"
"271166","Celulares e Telefones","VoIP"
"186365","Casa, Móveis e Decoração","Organização para Casa"
"432129","Arte, Papelaria e Armarinho","Arte e Trabalhos Manuais"
"277839","Games","Fliperamas e Arcade"
"271606","Acessórios para Veículos","Pneus e Acessórios"
"278228","Brinquedos e Hobbies","Patins e Skates"
"457862","Brinquedos e Hobbies","Jogos de Tabuleiro e Cartas"
"12953","Celulares e Telefones","Acessórios para Celulares"
"438244","Esportes e Fitness","Natação"
"272149","Informática","Conectividade e Redes"
"271863","Calçados, Roupas e Bolsas","Indumentária Laboral e Escolar"
"271706","Esportes e Fitness","Futebol"
"186425","Mais Categorias","Esoterismo e Ocultismo"
"271721","Ferramentas","Acessórios para Ferramentas"
"80232","Câmeras e Acessórios","Instrumentos Ópticos "
"432704","Construção","Aberturas"
"67522","Esportes e Fitness","Artes Marciais e Boxe"
"438438","Informática","PC de Mesa"
"49112","Indústria e Comércio","Gráfica e Impressão"
"270695","Construção","Máquinas para Construção"
"455450","Casa, Móveis e Decoração","Iluminação Residencial"
"433603","Calçados, Roupas e Bolsas","Indumentária Laboral e Escolar"
"271148","Ferramentas","Ferramentas para Jardim"
"438506","Festas e Lembrancinhas","Decoração de Festa"
"445795","Música, Filmes e Seriados","Cursos Completos"
"448306","Brinquedos e Hobbies","Brinquedos de Praia e Piscina"
"30091","Casa, Móveis e Decoração","Têxteis de Casa e Decoração"
"432486","Informática","Componentes para PC"
"260614","Acessórios para Veículos","Tuning"
"1003","Eletrônicos, Áudio e Vídeo","Aparelhos DVD e Bluray"
"455812","Saúde","Mobilidade"
"278066","Bebês","Roupas de Bebê"
"445781","Acessórios para Veículos","Serviços Programados"
"270366","Informática","Tablets e Acessórios"
"30165","Casa, Móveis e Decoração","Segurança para Casa"
"269948","Ferramentas","Ferramentas para Jardim"
"278218","Pet Shop","Peixes"
"457113","Agro","Produçao Animal"
"50891","Brinquedos e Hobbies","Brinquedos Eletrônicos"
"48236","Esportes e Fitness","Mergulho"
"439105","Indústria e Comércio","Equipamento para Escritórios"
"454774","Indústria e Comércio","Segurança Laboral"
"457918","Agro","Infra-estrutura Rural"
"270302","Brinquedos e Hobbies","Brinquedos de Faz de Conta"
"433050","Brinquedos e Hobbies","Lançadores de Brinquedo"
"442400","Agro","Infra-estrutura Rural"
"455069","Eletrodomésticos","Fornos e Fogões"
"186057","Casa, Móveis e Decoração","Têxteis de Casa e Decoração"
"271142","Bebês","Brinquedos para Bebês"
"1659","Informática","Componentes para PC"
"45977","Brinquedos e Hobbies","Brinquedos para Bebês"
"401103","Esportes e Fitness","Equitação"
"129666","Informática","Tablets e Acessórios"
"67838","Esportes e Fitness","Wakeboard e Esquí Acuático"
"278209","Esportes e Fitness","Artes Marciais e Boxe"
"440490","Acessórios para Veículos","Segurança Veicular"
"278137","Bebês","Roupas de Bebê"
"269668","Beleza e Cuidado Pessoal","Artigos para Cabeleireiros"
"457932","Esportes e Fitness","Tiro Esportivo"
"272165","Mais Categorias","Artigos para Fumadores"
"455426","Brinquedos e Hobbies","Brinquedos de Montar"
"270508","Indústria e Comércio","Equipamento para Escritórios"
"433537","Mais Categorias","Kits de Criminalística"
"276969","Indústria e Comércio","Segurança Laboral"
"432271","Brinquedos e Hobbies","Brinquedos de Praia e Piscina"
"260541","Bebês","Banho do Bebê"
"436434","Casa, Móveis e Decoração","Organização para Casa"
