"item_id","item","unidades_30d","vertical","agg1_ml","agg2_ml","agg3_ml","domain_id"
"5195000316","Relógio Smartwatch S10 Pro 46mm Serie 10 Nfc Chatgpt Gps","47","TECHNOLOGY","WEARABLES","SMARTWATCHES","SMARTWATCHES","MLB-SMARTWATCHES"
"5168823864","Caixa De Presente Premium Luxo C/ Imã E Fita Cetim 28x20x9cm Branco","47","OTHERS","ANTIQUES & HOBBIES","ANTIQUES & HOBBIES","ANTIQUES & HOBBIES","MLB-READY_TO_PAINT_FIGURES_AND_OBJECTS"
"1847159224","Termômetro Churrasqueira Bafo Forno Defumador 500ºc Borboleta","47","FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","KITCHEN HOME","PREP, GADGETS AND ACC","MLB-KITCHEN_THERMOMETERS"
"4552893005","Blusa Feminina Alongada Assimétrica Com Renda","47","FASHION","APPAREL","CLOTHING","SWEATERS AND CARDIGANS","MLB-BLOUSES"
"4255068737","Vestido Camisa Solto Com Botão E Bolsos Com Impressão","47","FASHION","APPAREL","CLOTHING","DRESSES","MLB-DRESSES"
"4345533813","Jaleco Feminino Manga Curta Bufante  Zíper Mara Pink + Turb","47","FASHION","APPAREL","KIDS APPAREL","KIDS APPAREL","MLB-SCHOOL_SMOCKS"
"4320566503","Cama Pet Caminha Pra Cachorro Gato Europa Redonda Resistente","47","CPG","PET","PET ACCESSORIES","OTHER ACCESSORIES","MLB-CAT_AND_DOG_BEDS"
"5745334548","Forma Gelo Silicone Colmeia 37 Cavidades Com Tampa Bombom Sortido","47","FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","KITCHEN HOME","PREP, GADGETS AND ACC","MLB-KITCHEN_MOLDS"
"1938586507","Termo-higrômetro Digital Relógio Temperatura Umidade Ar E10","47","CONSTRUCTION & INDUSTRY","TOOLS","MEASURING TOOLS","AMBIENT","MLB-HYGROMETERS"
"3971303107","Filtro De Linha Regua Extensao 6 Tomadas 10a Cabo 1m Prot. Sobretensão Preto 127/220v","47","CONSTRUCTION & INDUSTRY","CONSTRUCTION","ELECTRICAL","POWER SAVERS & STRIPS","MLB-POWER_STRIPS"
"6596451146","100 Metros Rabiola Da Copa Do Mundo Fitas Verde E Amarelo 100 Metros De Fitas","47","FURNISHING & HOUSEWARE","HABERDASHERY","HABERDASHERY","HABERDASHERY","MLB-HABERDASHERY_RIBBONS"
"4578007459","Alicate Crimpar Terminal Pré-isolado Não-isolado 0,5mm² Até 6mm² T7","47","CONSTRUCTION & INDUSTRY","TOOLS","MANUAL TOOLS","PLIERS","MLB-CRIMPING_PLIERS"
"4074995796","Dove Sabonete Líquido Nutrição Profunda Refil 200 Ml","47","CPG","CPG PERSONAL CARE","PERSONAL CARE ESSENTIALS","SOAP","MLB-LIQUID_HAND_AND_BODY_SOAPS"
"4392538214","Calça Jeans Masculina Tradicional Corte Reto","47","FASHION","APPAREL","CLOTHING","PANTS & OTHERS","MLB-PANTS"
"3900290037","Kit 4 Camiseta Academia Feminina Camisa Dry Fit Treino Blusa","47","FASHION","APPAREL","CLOTHING","SHIRTS","MLB-T_SHIRTS"
"3907698073","Avental Descartável 16g Pacote 10 Unidades Medix Manga Longa","47","HEALTH","HEALTH GOODS","HEALTH PROFESSIONAL","MEDICAL SPECIALIZED EQUIPMENT","MLB-SURGICAL_GOWNS"
"5406796538","Adaptador Wifi Computador Usb 3.0 Placa De Rede Gigabit Dual Band Wifi 5ghz Wifi 6 1300mbps Ethernet Usb Rj45 Com 2 Antenas - Gurumania","47","TECHNOLOGY","IT APPLIANCES","CONNECTIVITY & NETWORKS","NETWORK CABLES & ACCESSORIES","MLB-NETWORK_CARDS"
"3303412112","Fita Adesiva Azul Prótese Capilar Mega Hair 3metros X 1,27cm","47","BEAUTY","BEAUTY PROFESSIONAL","BEAUTY SALOON","SALOON TOOLS","MLB-HAIRDRESSING_ACCESSORIES"
"4007542135","Toalha Umedecida Meu Bebê Ultra 100 Folhas","47","CPG","CPG PERSONAL CARE","CPG BABY CARE","BABY HYGIENE","MLB-WET_BABY_WIPES"
"5119631658","Kit 3 Vasos Tubo Cilindro Vidro Planta Decorativo 8x10,20,30 Transparente Lisa","47","FURNISHING & HOUSEWARE","DECOR","ORNAMENTS","ORNAMENTS","MLB-DECORATIVE_AND_FLOWER_VASES"
"5680207554","Macacão Linho Tomara Que Caia Design Amplo E Moderno","47","FASHION","APPAREL","CLOTHING","OTHER APPAREL","MLB-JUMPSUITS_AND_OVERALLS"
"2207291294","Lampada Para Aquecer Batata Frita 250w 220v E27","47","CONSTRUCTION & INDUSTRY","LIGHTING","BULBS & LED STRIPS","BULBS & LED STRIPS","MLB-LIGHT_BULBS"
"5443285374","Botina De Segurança Bota Ipi Para Trabalho Bico De Pvc C/ Ca","47","CONSTRUCTION & INDUSTRY","INDUSTRY","SAFETY EQUIPMENT","SAFETY EQUIPMENT","MLB-SAFETY_FOOTWEAR"
"4524344317","Painel Plafon 18w Redondo Sobrepor Super Led 110/220 Branco 127/220v Branco","47","CONSTRUCTION & INDUSTRY","LIGHTING","WALL & CEILING LIGHTS","WALL & CEILING LIGHTS","MLB-FLOOR_CEILING_AND_WALL_LIGHTS"
"6433836010","Samsung Galaxy A06 5g Dual Sim 128gb Preto","47","TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES","SMARTPHONES","MLB-CELLPHONES"
"6512784092","Conjunto Blusa Colete + Calça Alfaiataria Casual Feminino","47","FASHION","APPAREL","CLOTHING","WINTER TOPS SWEATSHIRT","MLB-VESTS"
"3106426220","Suplemento Infantil Fortini Pó Plus Sem Sabor 400g Danone","47","HEALTH","SUPPLEMENTS","HEALTH SUPPLEMENTS","CARBOHYDRATE","MLB-SUPPLEMENTS"
"2184359312","Camisa Gola Polo Masculina Plus Size Lisa Tamanho Especial","47","FASHION","APPAREL","CLOTHING","SHIRTS","MLB-SHIRTS"
"5270518124","Vestido Fantasia Infantil Princesas Kit Luva Coroa E Varinha","47","T & B","PARTY","PARTY COSTUMES & ACCESSORIES","COSTUMES","MLB-COSTUMES"
"5196553340","Colete Social Plus Size Masculino Tamanho G1 A G6 - Promoção","47","FASHION","APPAREL","CLOTHING","WINTER TOPS SWEATSHIRT","MLB-VESTS"
"4090986449","Cilindro Miolo Tambor Fechadura Stam Original Gorje Branco","47","CONSTRUCTION & INDUSTRY","SECURITY","NOT DIGITAL LOCKS","NOT DIGITAL LOCKS","MLB-DOOR_AND_WINDOW_LOCKS"
