"vertical","agg1","agg2","agg3","dominio","unidades","nmv_brl","pct_del_nmv_zona","pct_del_nmv_vertical"
"SPORTS","INDOOR SPORTS","GYM","GYM ACCESORIES","BARBELL_COLLARS","63","2397","0,002","0,067"
"VEHICLE PARTS & ACCESSORIES","ACC MOTORCYCLES","MOTORCYCLE REPLACEMENT PARTS","MOTORCYCLE BODYWORK","MOTORCYCLE_GRAB_BARS","47","2391","0,002","0,029"
"TECHNOLOGY","IT APPLIANCES","PRINTERS PARTS & ACCESSORIES","PRINTERS PARTS","PRINTER_PRESSURE_ROLLERS","28","2385","0,002","0,008"
"CPG","FOODS","FRESH FOOD","VEGETABLES AND FRUITS","VEGETABLES","115","2379","0,002","0,02"
"VEHICLE PARTS & ACCESSORIES","ACC CARS & VANS","CARS & VANS REPLACEMENT PARTS","CARS & VANS OTHERS","VEHICLE_BUMPER_MOLDINGS","26","2378","0,002","0,028"
"VEHICLE PARTS & ACCESSORIES","ACC MOTORCYCLES","MOTORCYCLE REPLACEMENT PARTS","MOTORCYCLE ENGINE","MOTORCYCLE_MAGNETO_ROTORS","21","2376","0,002","0,028"
"VEHICLE PARTS & ACCESSORIES","ACC NAUTICAL VEHICLES","NAUTICAL EQUIPMENT","NAUTICAL EQUIPMENT EXTERIOR","NAUTICAL_FENDERS","14","2370","0,002","0,028"
"VEHICLE PARTS & ACCESSORIES","ACC CARS & VANS","CARS & VANS REPLACEMENT PARTS","CARS & VANS TRANSMISSION","VEHICLE_TRANSMISSION_CROWNS","40","2359","0,002","0,028"
"ENTERTAINMENT","MUSICAL INSTRUMENTS","MUSICAL INSTRUMENTS ACCESSORIES","MUSICAL INSTRUMENTS ACCESSORIES","PEDALBOARDS","16","2357","0,002","0,096"
"FURNISHING & HOUSEWARE","FURNITURE","OTHER FURNITURE","OTHER FURNITURE","MAGAZINE_HOLDERS","44","2357","0,002","0,021"
"T & B","TOYS AND GAMES","ART & CRAFT","ORGANIZATION & STORAGE TOYS","KIDS_TABLES_AND_CHAIRS_SETS","24","2353","0,002","0,063"
"FASHION","APPAREL ACCESSORIES","OTHER APPAREL ACCESSORIES","OTHER APPAREL ACCESSORIES","VEILS","37","2352","0,002","0,019"
"HOME ELECTRONICS","AUDIO & GENERAL ELECTRONICS","MULTIMEDIA","PARTY EFFECTS MACHINES","BUBBLE_MACHINES","38","2346","0,002","0,035"
"OTHERS","OTHER","OTHER","OTHER","STRAP_ONS","37","2346","0,002","0,42"
